Locality,DateBins,Lat.,Long.,D_sum,N_sum,B_sum,R_sum,x_sum,F_sum,Q_sum,K_sum,E_sum,L_sum,n_sum,A_sum,G_sum,I_sum,J_sum,C_sum,O_sum,H_sum,P_sum,T_sum,y_haplos_sum
Ayacucho. Lucanas. Laramate. Botigiriayocc,0-1000,-14.275556,-74.843611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayacucho. Lucanas. Laramate. Pacapaccari,0-1000,-14.262222,-74.859167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baden-Württemberg. Schwetzingen,7001-7500,49.39,8.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
Baden-Württemberg. Stuttgart-Mühlhausen I,6501-7000,48.78,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Baden-Württemberg. Stuttgart-Mühlhausen I,7001-7500,48.78,9.18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9
Baden-Württemberg. Stuttgart-Mühlhausen II,7001-7500,48.78000000000001,9.179999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Baden-Württemberg. Stuttgart-Mühlhausen. Viesenhaeuser Hof,7001-7500,48.78,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagheri Tchala Archaeological Complex,2501-3000,40.91666,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baikal Region. Angara river basin. Mouth of the Belaya River,0-1000,52.916944,103.657222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baikal Region. Angara river basin. Mouth of the Belaya River,4501-5000,52.916944,103.657222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baikal Region. Angara river basin. Mouth of the Belaya River,5501-6000,52.916944,103.657222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baikal Region. Angara river basin. Mouth of the Belaya River,6501-7000,52.916944,103.657222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balatonlelle-Felső-Gamász,5001-5500,46.78469,17.731714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Balearic Islands. Formentera. Cova 127,3501-4000,38.686574,1.421209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balearic Islands. Ibiza. Saint Antoni de Portmany. Can Portes d'es Jurat hipogeo Ca's Moli,2001-2500,38.980833,1.300556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balearic Islands. Mallorca. Cova des Moro,4001-4500,39.505018,3.301983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balearic Islands. Menorca. Ciutadella. Es Forat de ses Aritges,3001-3500,40.004935,3.862,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Ballito Bay A,1501-2000,-29.533333,31.216667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ballito Bay B,2001-2500,-29.533333,31.216667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Ballynahatty.  County Down,5001-5500,54.54222222,-5.956666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balma Guilanya,11501-12000,42.085341,1.601683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ban Chiang,2501-3000,17.407901,103.240434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ban Chiang,3001-3500,17.407901,103.240434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandevouri-Fang,0-1000,2.5,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh. Dhaka,0-1000,23.736507999999997,90.39365085714287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Can Roqueta II,2001-2500,41.5373,2.1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Can Roqueta II,2501-3000,41.5373,2.1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Castellví de la Marca. Hort d'en Grimau,2001-2500,41.3324,1.5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Cerdanyola. Can Olivé,2001-2500,41.4966,2.14694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Cerdanyola. Paris Street,4501-5000,41.49194444,2.138888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barcelona. Cova de la Guineu,4501-5000,41.4391,1.5733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Pacs del Penedès. Mas d'en Boixos-1,2001-2500,41.3616,1.6694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Roda de Ter. L'Esquerda,1001-1500,41.981377,2.309824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Sabadell. Can Roquetes,3501-4000,41.5373,2.1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcelona. Terrasa. Miquel Vives,4001-4500,41.569583,2.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barcın (Northwest Anatolia. Marmara),8001-8500,40.30256153846154,29.58674359076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bardhoc (Norteastern. Kukes District),0-1000,42.12,20.518056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bardzryal Archaeological Complex ,2501-3000,40.91666,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barç (Southeast. Korça Basin) ,0-1000,40.625278,20.801111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bas-Rhin. Obernai,6001-6500,48.46,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bas-Rhin. Obernai,6501-7000,48.46,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
Bas-Rhin. Obernai,7001-7500,48.46,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
